Id Marker Origin End
0 8 0 5
1 8 5 3
2 7 12 2
3 6 6 1
4 5 1 0
5 0 0 8
6 0 4 1
7 0 5 4
8 0 2 7
9 0 10 4
10 0 9 6
11 6 6 2
12 0 4 7
13 0 7 11
14 0 3 7
15 0 5 8
16 0 8 4
17 0 1 8
18 0 1 9
19 0 9 4
20 0 2 9
21 0 7 10
22 0 10 2
23 0 9 10
24 0 4 11
25 0 11 5
26 0 3 11
27 0 7 12
28 7 12 3
